Month,Day,Year,Alameda Hall,Charney Hall,Heafy Hall,Campisi,Dunne,Graham,San Filipo,Date
1,9,2021,2.660332859,6.351131439,14.03564,7.395558,8.27839756,7.897561074,1.547554285,1/9/2021
1,9,2021,2.631656468,6.401364803,14.96437788,7.383955002,8.373664856,7.80349195,1.54516241,1/9/2021
1,9,2021,2.619768441,6.598453641,14.40371513,7.36634934,8.424777508,7.806977034,1.660706818,1/9/2021
1,9,2021,2.6257357,6.584031343,14.00343204,7.32842207,10.64009905,7.819632649,1.796701342,1/9/2021
1,9,2021,2.61852181,6.498743773,14.61046648,7.336149335,9.990927935,7.793164015,1.471490205,1/9/2021
1,9,2021,2.611834228,6.421907544,13.23523426,7.355011106,11.07542253,7.820160508,1.294725299,1/9/2021
1,9,2021,2.344418228,6.629207373,14.71109986,7.342332602,10.08545399,7.77331686,1.667034417,1/9/2021
1,9,2021,1.932295531,6.485105872,13.44408631,7.339727044,10.69913077,7.801479697,1.66031152,1/9/2021
1,9,2021,1.888874531,6.42156744,14.59785461,7.388226628,10.10679388,7.852952838,1.509213657,1/9/2021
1,9,2021,1.909429908,6.72053957,14.63293958,7.684115529,9.924256802,9.070343018,1.666225463,1/9/2021
1,9,2021,1.934759557,7.127963663,14.54047895,7.901265144,10.79717827,9.11790371,1.676522941,1/9/2021
1,9,2021,1.949487597,7.29187882,15.77650499,7.897331,8.36585331,9.024877787,1.748947382,1/9/2021
1,9,2021,1.936115593,7.121942282,14.6238935,7.909890413,8.356977939,8.98159194,1.707684249,1/9/2021
1,9,2021,1.956490785,7.117300749,12.81471491,7.917465448,8.330852985,8.951061726,1.698282331,1/9/2021
1,9,2021,2.226648808,7.067301631,10.97424006,7.90356195,8.371313333,8.979220152,1.710716784,1/9/2021
1,9,2021,2.505051851,6.951906204,10.9906075,7.944479704,8.288902521,8.997558832,1.77477023,1/9/2021
1,10,2021,2.54781121,6.873311043,10.9452045,7.931920648,8.294716597,8.729107142,1.714420498,1/10/2021
1,10,2021,2.527624369,6.809342027,10.99891925,7.921027303,8.332774878,7.749570608,1.703623355,1/10/2021
1,10,2021,2.532571316,6.832822323,11.03910899,7.929980159,8.31376934,7.644081712,1.638422728,1/10/2021
1,10,2021,2.534552157,7.380099535,11.57885218,7.9356637,8.32511282,7.634459376,1.55822888,1/10/2021
1,10,2021,2.618531287,7.334176421,12.11805773,7.918823719,8.247302532,7.678965688,1.558929533,1/10/2021
1,10,2021,2.650869727,6.961555004,17.17115426,7.934980273,8.278230906,7.868716955,1.558609367,1/10/2021
1,10,2021,2.699251235,6.954466939,16.24039793,7.934153557,8.251521588,8.215262652,1.557932347,1/10/2021
1,10,2021,2.673336685,6.869071007,16.22051382,7.905926943,8.228937388,8.182076455,1.549687564,1/10/2021
1,10,2021,2.65399605,6.355973125,14.69508767,7.467918515,8.29368496,7.862391114,1.52478835,1/10/2021
1,10,2021,2.657614708,6.43414259,15.38306976,7.376559139,8.310361147,7.880442739,1.518262148,1/10/2021
1,10,2021,2.649604976,7.227030277,14.85893488,7.37260437,8.362829209,7.803656101,1.520913005,1/10/2021
1,10,2021,2.652584374,6.800326467,14.11805487,7.400105,8.318705321,7.795325637,1.631728888,1/10/2021
1,10,2021,2.651238859,6.973954439,13.8377378,7.39131093,10.0745306,7.749707937,1.641717196,1/10/2021
1,10,2021,2.641647935,6.527430534,15.50721574,7.373818517,10.0962708,7.756195307,1.68338272,1/10/2021
1,10,2021,2.643734515,6.548664928,14.77200723,7.401904583,11.24661589,7.827334404,1.655649722,1/10/2021
1,10,2021,2.561452031,6.571590781,15.2157445,7.391536117,10.01406145,7.860112309,1.685092748,1/10/2021
1,10,2021,2.123897106,6.486824751,13.87720776,7.392798901,10.79640889,7.958052516,1.763046265,1/10/2021
1,10,2021,1.930297136,6.973725319,16.83240009,7.742647767,9.892934084,9.104446411,1.779294849,1/10/2021
1,10,2021,1.953733444,7.433067799,15.56365896,7.92316246,10.67655349,9.095502854,1.682180613,1/10/2021
1,10,2021,1.944347173,7.714500904,15.60043121,7.935326696,8.37029314,9.176192284,1.895682305,1/10/2021
1,10,2021,1.943694889,7.672766567,15.58031487,7.934717536,8.396740437,9.189955235,1.703663677,1/10/2021
1,10,2021,2.011313647,7.157555938,13.69450855,7.925126672,8.358260632,9.222571135,1.905742228,1/10/2021
1,10,2021,2.38872397,7.000881791,11.44344425,7.903630495,8.33938551,9.23599267,1.749726147,1/10/2021
1,10,2021,2.544712544,6.988844037,11.37486625,7.929491639,8.311977148,9.157122612,1.70617497,1/10/2021
1,11,2021,2.542164266,6.953327179,11.28641987,7.912394881,8.328016281,8.765558004,1.697632015,1/11/2021
1,11,2021,2.521257877,6.962461948,11.21557427,7.888489842,8.428312779,7.795853496,1.708088249,1/11/2021
1,11,2021,2.525529504,6.828290701,11.2035768,7.926804662,8.352436542,7.660035849,1.702215612,1/11/2021
1,11,2021,2.538995683,6.893454432,11.79078222,7.911326408,8.313610077,7.690752506,1.843950927,1/11/2021
1,11,2021,2.617144883,6.873477578,12.17966294,7.895686388,8.371769905,7.596171498,1.649348766,1/11/2021
