,total_hourly_usage
1346,64.626995326
1347,62.899924168999995
1348,59.032236311999995
1349,47.725909027
1350,45.218062937
1351,44.644298737999996
1352,44.788030094
1353,45.198037393
1354,51.178313104
1355,66.520931577
1356,65.05343527
1357,61.798554424
1358,63.639505811
1359,63.587818629
1360,66.937590484
1361,67.225668545
1362,64.266765486
1363,61.819395664
1364,62.571559202
1365,64.138932934
1366,63.726211801
1367,61.65097117900001
1368,65.523774086
1369,64.845334049
1370,66.60720841599999
1371,61.258446488999994
1372,57.303525214
1373,47.598011791000005
1374,45.81201621699999
1375,45.371286482
1376,45.901035673
1377,46.591942730999996
1378,54.121688246
1379,65.365994809
1380,66.229666118
1381,63.369753841
1382,63.248768332
1383,63.51336658099999
1384,63.520633807
1385,65.91251207100001
1386,62.294359717
1387,63.973024673000005
1388,64.594266999
1389,64.730092984
1390,63.354790507999994
1391,62.20745225500001
1392,65.711959695
1393,68.467704837
1394,64.4640874
1395,61.13278114900001
1396,58.128953466
1397,48.091768269
1398,45.65878508
1399,44.968709768000004
1400,45.484109765
1401,46.38874852599999
1402,54.24265778499999
1403,66.721084296
1404,67.53355282499999
1405,64.80296045699998
1406,62.966646069
1407,62.870770096
1408,66.10444732199998
1409,64.94775677700001
1410,66.579068494
1411,63.56771287400001
1412,68.029236167
1413,64.69961768799999
1414,67.406148435
1415,65.422687123
1416,64.933663784
1417,67.114419969
1418,63.573668037
1419,62.70013571999999
1420,56.81273359500001
1421,46.599552599999996
1422,45.223769185
1423,44.782332424
1424,44.911946926
1425,45.648633153999995
1426,51.987132548
1427,65.268368486
1428,66.74146437799999
1429,65.453102469
1430,66.97382254200001
1431,65.65193695
1432,68.22739130500001
1433,66.284560435
1434,65.41117686800001
1435,67.617317438
1436,65.695626016
1437,66.206373153
1438,68.01548118000001
1439,65.876441645
1440,67.807895067
1441,68.32265252100001
1442,66.888738786
1443,63.540622809999995
1444,57.357998914
1445,47.117370513
1446,45.128690844000005
1447,44.491544249
1448,44.785264170000005
1449,45.332389473
1450,51.718444447
1451,64.357656483
1452,66.685655593
1453,63.54895288399999
1454,65.90153515099999
1455,65.129723128
1456,69.614391329
1457,72.8346365
1458,71.20476276299999
1459,69.818343177
1460,71.574538759
1461,67.878646912
1462,73.03334851000001
1463,68.079765693
1464,66.744108442
1465,69.293605837
1466,66.422992489
1467,63.10442826900001
1468,61.080507816
1469,50.199810243
1470,48.208904833999995
1471,45.140396775
1472,44.973714117
1473,45.350811814
1474,51.552089304
1475,65.054987551
1476,65.05667507199999
1477,63.447854639999996
1478,66.39250654300001
1479,69.55023485400001
1480,69.539096903
1481,71.21094095800001
1482,70.18188262299999
1483,76.308812683
1484,74.047581614
1485,74.387319448
1486,75.24873209
1487,73.046334106
1488,71.332832877
1489,71.1835915
1490,67.983907581
1491,66.27861885
1492,59.24322539599999
1493,48.412643497000005
1494,45.842953596
1495,45.455056932999995
1496,45.868597009
1497,46.495140017000004
1498,52.491001568
1499,66.36552024400001
1500,67.72779167
1501,71.395224996
1502,69.869745083
1503,69.84354324
1504,73.724294913
1505,70.67947001799999
1506,74.574497167
1507,70.323180631
1508,71.61271930800001
1509,73.19905132299999
1510,72.203341309
