Wind Speed (m/s),Wind Direction (°),ActivePower (kW)
2.664561987,84.46118164,0
3.140161991,92.12463379,0
2.632610083,101.8510971,0
1.738193035,99.7596817,0
1.935835004,75.03088379,0
1.757176995,73.65454865,0
1.542072058,65.50054169,0
1.623093009,53.91765976,0
2.062084913,44.93912125,0
2.059083939,40.33227158,0
2.153846025,36.03804016,0
2.047363997,56.5520401,0
1.635233045,65.39498138,0
0.838681579,64.3360672,0
1.287089944,30.20119095,0
1.370728016,24.33827972,0
2.464360952,307.5815125,0
3.067440033,308.2029114,0
2.977355957,307.5805969,0
2.896075964,313.1120911,0
2.201855898,338.1872864,0
3.418040991,308.2749023,0
3.209656954,296.4602051,0
3.092607975,302.644989,0
2.95758605,306.2347107,0
3.802710056,302.2344971,0
2.681519032,300.1575012,0
2.174657106,308.3120117,0
2.12748909,285.7166138,0
1.911278009,263.1394043,0
1.717532039,250.1069031,0
1.953783989,235.3231049,0
2.104336023,231.5205994,0
2.173634052,261.1196899,0
1.786031008,250.3791046,0
1.511755943,283.2633972,0
1.59967804,323.84729,0
1.383831024,311.7663879,0
1.28223002,289.660614,0
1.768030047,253.3930969,0
1.630704045,238.4373932,0
1.433897018,234.3511963,0
1.669222951,247.1123962,0
1.545390964,236.2960968,0
1.981886983,235.3430939,0
2.633574963,236.8869019,0
2.414356947,229.2657928,0
2.152529955,242.2501984,0
2.120126009,234.2127991,0
2.23940897,236.4194946,0
2.801307917,243.9626007,0
3.201854944,241.4969025,0
2.875705957,236.6499023,0
2.854813099,231.9618073,0
2.863102913,214.8110046,0
2.499380112,203.1401978,0
2.928209066,208.8934021,0
2.825680017,222.7451019,0
2.271142006,225.7310944,0
2.446209908,231.9817047,0
2.877877951,224.1681976,0
2.957370043,208.3934021,0
3.568568945,208.1672058,0
2.449913979,224.892395,0
1.791203976,243.6520996,0
1.930189967,252.5655975,0
1.660967946,233.1425934,0
2.148116112,257.0335999,0
2.624979019,258.8557129,0
2.289019108,253.5534973,0
2.671096087,253.2687988,0
2.723583937,245.9183044,0
2.813057899,244.0549927,0
2.679502964,251.0276031,0
2.554055929,241.9400024,0
2.330497026,238.5106049,0
1.548683047,209.9880066,0
1.566717982,188.5220947,0
2.107630014,197.4953003,0
1.79004705,185.6945038,0
1.783530951,205.5852966,0
1.452373028,231.9136047,0
2.141073942,221.9756012,0
2.596193075,227.854599,0
2.092180014,212.6759033,0
1.928406954,186.9420013,0
1.896306992,207.5079041,0
1.386492014,227.8764954,0
1.383507013,243.2460938,0
1.208117008,226.5276031,0
1.212676048,232.8432007,0
1.216743946,275.9594116,0
0.858171403,258.8037109,0
0.528895795,215.6981049,0
0.724772871,216.8983002,0
1.208716989,269.7489014,0
0.680991471,249.2165985,0
1.802721024,183.5424957,0
1.805271029,170.5200958,0
0.772655725,140.0912933,0
0.677660882,313.6976013,0
0.850723088,259.1706848,0
0.778628528,265.1947937,0
0.66154331,239.1564026,0
0.662026227,246.4013062,0
0.736934721,215.3847961,0
0.370373189,238.1040955,0
0.665686607,257.1151123,0
0.460825413,73.79194641,0
0.943695188,34.12083817,0
0.963562727,333.9639893,0
1.55261898,277.8475952,0
2.17685008,267.066803,0
1.629364967,238.489502,0
0.813819528,90.45394897,0
0.5694592,63.36355972,0
0.97145462,218.2781982,0
0.521273315,129.1246948,0
0.338039011,107.9205017,0
0.53250438,127.8466034,0
0.552247524,128.9541931,0
1.139093041,143.7068939,0
2.34425211,134.9770966,0
3.646318913,134.4564972,0
4.016671181,133.6049042,47.90932846
3.279254913,125.3523026,12.95296001
2.305548906,94.77848816,0
1.726174951,51.57822037,0
1.396111012,320.4632874,0
1.413828969,354.765686,0
0.808616281,33.77170944,0
0.29050979,118.9788971,0
0.638341486,147.8424988,0
0.984448314,152.720993,0
0.657420874,185.0466003,0
0.865311384,182.5706024,0
0.809088707,169.2873993,0
1.034098029,163.4824066,0
0.641550899,285.8124084,0
0.314508796,281.0539856,0
0.873369873,201.6215057,0
0.974539876,171.9019928,0
1.88746202,217.5924072,0
1.255934954,177.1208954,0
0.957294524,143.9730988,0
0.485388905,31.72039986,0
0.601248026,175.8845062,0
0.963453293,150.7736969,0
0.806071997,135.6419983,0
0.74094522,240.0531006,0
1.083771944,159.2798004,0
1.890300035,155.6240997,0
2.490178108,154.5337982,0
2.476114035,160.6259003,0
2.532900095,150.0433044,0
1.890108943,161.0682983,0
1.419512987,152.5379944,0
2.389832973,162.8356018,0
3.577557087,0,0
2.365161896,183.9550018,0
2.718158007,163.5693054,0
2.991008997,164.8551025,0
2.708965063,151.5995026,0
2.902618885,149.5975952,0
2.552275896,155.1351013,0
1.633525968,180.2098999,0
2.866808891,197.8553009,0
3.762989044,200.7142029,0
3.556952,179.8724976,0
3.254215002,167.5404968,0
3.488528967,162.9709015,0
3.740334034,170.1101074,0
3.56308198,179.2691956,0
3.497584105,184.5984039,0
3.836231947,190.2328949,0
4.424263,204.7044983,0
4.620684147,208.401001,0
4.918453217,210.591095,0
4.851792812,206.6618042,35.41701889
4.500104904,205.4633942,140.9503021
4.208559036,204.4723053,94.85032654
3.656229973,201.0424957,63.05392838
3.522366047,203.9230042,56.7136116
3.467375994,201.9060974,28.12931061
2.949517965,204.9010925,-0.456532687
3.386360884,206.5899963,0
3.338223934,198.7406006,0
3.96685791,191.4416962,0
4.383850098,194.6184998,0
3.818460941,191.8796997,0
4.460434914,199.0765076,0
4.318597794,201.6802979,0
4.51971817,195.0646973,0
4.845714092,193.9501953,0
4.704411983,0,0
4.892066002,173.6015015,110.1772995
5.036252022,170.7774963,268.4454041
5.277178764,174.2639008,345.5763855
5.591422081,179.6499023,440.3240967
6.026912212,181.6007996,582.0706787
6.399488926,183.0281067,685.7241821
6.350472927,187.5308075,687.3024292
6.255465984,187.9414978,655.8494263
6.073575974,189.644104,579.4661865
6.024237156,190.6399994,535.5651855
6.309328079,189.9288025,633.1019287
6.941885948,188.1958008,818.1245117
7.42167902,187.0711975,1011.14502
8.038404465,187.6884003,1323.166992
8.351256371,190.7700043,1519.583984
9.141762733,193.214798,1859.737061
9.692931175,194.1360016,2232.939941
